Tempo(s)	Deformação(mm)	Força(N)
0.016667 	0.00000 	832.28 
0.51667 	0.00000 	832.28 
1.0167 	0.00010662 	1165.2 
1.5167 	0.00021324 	1331.7 
2.0167 	0.00031985 	1831.0 
2.5167 	0.00042647 	2163.9 
2.9167 	0.00053309 	2829.8 
3.4167 	0.00063971 	2996.2 
3.7500 	0.00074633 	3662.0 
4.2500 	0.00085294 	4161.4 
4.7500 	0.0010662 	4494.3 
5.0333 	0.0011728 	5160.2 
5.4833 	0.0013860 	5826.0 
5.9833 	0.0014927 	6158.9 
6.3833 	0.0014927 	6824.7 
6.8833 	0.0015993 	7157.6 
7.3833 	0.0019191 	7823.5 
7.8833 	0.0020257 	8322.8 
8.3667 	0.0022390 	8988.7 
8.8667 	0.0023456 	9321.6 
9.3333 	0.0024522 	9987.4 
9.8333 	0.0026655 	10320 
10.333 	0.0028787 	10820 
10.817 	0.0029853 	11486 
11.317 	0.0031985 	11818 
11.817 	0.0033052 	12318 
12.317 	0.0034118 	12651 
12.817 	0.0035184 	13150 
13.317 	0.0037316 	13649 
13.717 	0.0039449 	14315 
14.150 	0.0040515 	14981 
14.650 	0.0042647 	15480 
15.150 	0.0044780 	15980 
15.567 	0.0045846 	16646 
16.067 	0.0046912 	16979 
16.533 	0.0049044 	17644 
17.033 	0.0049044 	18144 
17.533 	0.0051177 	18477 
17.883 	0.0051177 	19143 
18.383 	0.0053309 	19475 
18.883 	0.0054375 	20141 
19.383 	0.0056508 	20641 
19.883 	0.0056508 	20974 
20.383 	0.0056508 	21306 
20.883 	0.0056508 	21140 
21.383 	0.0055441 	21140 
21.883 	0.0055441 	21140 
22.383 	0.0056508 	20974 
22.883 	0.0055441 	21140 
23.383 	0.0055441 	21306 
23.883 	0.0055441 	21140 
24.383 	0.0055441 	21140 
24.883 	0.0056508 	21140 
25.383 	0.0055441 	21140 
25.883 	0.0055441 	21140 
26.383 	0.0054375 	21140 
26.883 	0.0054375 	21140 
27.383 	0.0054375 	20974 
27.883 	0.0054375 	21140 
28.383 	0.0054375 	21140 
28.883 	0.0054375 	21140 
29.383 	0.0054375 	20974 
29.883 	0.0054375 	20974 
30.383 	0.0054375 	20974 
30.883 	0.0054375 	21140 
31.383 	0.0054375 	21306 
31.883 	0.0054375 	21140 
32.383 	0.0053309 	21140 
32.883 	0.0053309 	20974 
33.383 	0.0053309 	21140 
33.883 	0.0054375 	21140 
34.383 	0.0053309 	21140 
34.883 	0.0054375 	21140 
35.383 	0.0055441 	21140 
35.883 	0.0055441 	20974 
