Tempo(s)	Deformação(mm)	Força(N)
 0.016667 	0.00000 	0.00000 
0.51667 	0.00000 	166.46 
1.0167 	0.00000 	166.46 
1.5167 	0.00010662 	665.83 
2.0167 	0.00010662 	1165.2 
2.5167 	0.00021324 	1498.1 
3.0167 	0.00031985 	1664.6 
3.5167 	0.00031985 	1831.0 
4.0167 	0.00042647 	2163.9 
4.4833 	0.00042647 	2829.8 
4.9833 	0.00053309 	3162.7 
5.4833 	0.00063971 	3329.1 
5.9833 	0.00063971 	3495.6 
6.4833 	0.00063971 	3828.5 
6.9833 	0.00074633 	4161.4 
7.4833 	0.00074633 	4660.8 
7.9500 	0.00095956 	5326.6 
8.2833 	0.0012794 	5992.4 
8.5667 	0.0017059 	6325.4 
8.7500 	0.0017059 	6991.2 
9.1000 	0.0019191 	7657.0 
9.4000 	0.0021324 	8322.8 
9.8833 	0.0023456 	8988.7 
10.300 	0.0023456 	9654.5 
10.800 	0.0025588 	10154 
11.200 	0.0026655 	10820 
11.700 	0.0027721 	11153 
12.100 	0.0027721 	11818 
12.600 	0.0029853 	12151 
13.067 	0.0029853 	12817 
13.567 	0.0031985 	13317 
14.067 	0.0033052 	13816 
14.567 	0.0034118 	14315 
15.067 	0.0035184 	14815 
15.567 	0.0035184 	15148 
16.067 	0.0036250 	15480 
16.517 	0.0037316 	16146 
17.017 	0.0038383 	16646 
17.517 	0.0039449 	17145 
18.017 	0.0040515 	17644 
18.467 	0.0041581 	18310 
18.967 	0.0042647 	18810 
19.350 	0.0043713 	19475 
19.850 	0.0044780 	19975 
20.350 	0.0045846 	20308 
20.850 	0.0046912 	20641 
21.350 	0.0046912 	20807 
21.850 	0.0046912 	20807 
22.350 	0.0046912 	20807 
22.850 	0.0047978 	20641 
23.350 	0.0046912 	20807 
23.850 	0.0046912 	20807 
24.350 	0.0046912 	20807 
24.850 	0.0046912 	20807 
25.350 	0.0046912 	20807 
25.850 	0.0046912 	20641 
26.350 	0.0046912 	20807 
26.850 	0.0046912 	20974 
27.350 	0.0046912 	20807 
27.850 	0.0046912 	20807 
28.350 	0.0046912 	20807 
28.850 	0.0045846 	20807 
29.350 	0.0045846 	20807 
29.850 	0.0045846 	20807 
30.350 	0.0045846 	20807 
30.850 	0.0045846 	20807 
31.350 	0.0046912 	20641 
31.850 	0.0045846 	20807 
32.350 	0.0045846 	20974 
32.850 	0.0045846 	20974 
33.350 	0.0045846 	20807 
33.850 	0.0045846 	20807 
34.350 	0.0045846 	20807 
34.850 	0.0045846 	20641 
35.350 	0.0045846 	20807 
35.850 	0.0045846 	20641 
36.350 	0.0045846 	20974 
36.850 	0.0044780 	20807 
37.350 	0.0045846 	20807 
37.850 	0.0045846 	20974 
38.350 	0.0045846 	20807 
38.850 	0.0045846 	20807 
39.350 	0.0044780 	20807 
39.850 	0.0045846 	20807 
40.350 	0.0045846 	20807 
40.850 	0.0044780 	20807 
41.350 	0.0045846 	20807 
41.850 	0.0044780 	20807 
42.350 	0.0044780 	20807 
