Tempo(s)	Deformação(mm)	Força(N)
0.016667 	-0.0001068 	-166.80 
0.51667 	0.00000 	0.00000 
1.0167 	0.00000 	332.91 
1.5167 	0.00000 	665.83 
2.0167 	0.00010662 	998.74 
2.5167 	0.00021324 	1331.7 
3.0167 	0.00031985 	1498.1 
3.5167 	0.00031985 	1664.6 
4.0167 	0.00031985 	1664.6 
4.5167 	0.00031985 	1831.0 
5.0167 	0.00042647 	2163.9 
5.5167 	0.00053309 	2330.4 
5.8500 	0.00074633 	2996.2 
6.2333 	0.00085294 	3662.0 
6.7000 	0.0012794 	3995.0 
7.1000 	0.0012794 	4660.8 
7.6000 	0.0013860 	5160.2 
7.9500 	0.0013860 	5826.0 
8.3833 	0.0018125 	6325.4 
8.8167 	0.0019191 	6991.2 
9.2333 	0.0021324 	7657.0 
9.7167 	0.0024522 	8322.8 
10.217 	0.0026655 	8655.8 
10.550 	0.0030919 	8988.7 
10.817 	0.0031985 	9654.5 
11.317 	0.0035184 	10154 
11.717 	0.0037316 	10820 
12.217 	0.0040515 	11153 
12.600 	0.0041581 	11818 
13.100 	0.0042647 	12318 
13.583 	0.0045846 	12984 
14.083 	0.0046912 	13483 
14.500 	0.0051177 	13982 
15.000 	0.0052243 	14315 
15.500 	0.0053309 	14815 
16.000 	0.0055441 	15148 
16.467 	0.0056508 	15813 
16.917 	0.0059706 	16479 
17.400 	0.0061839 	17145 
17.900 	0.0065037 	17644 
18.367 	0.0066103 	18310 
18.867 	0.0069302 	18976 
19.367 	0.0071434 	19309 
19.833 	0.0073566 	19975 
20.333 	0.0075699 	20474 
20.833 	0.0076765 	20807 
21.333 	0.0077831 	20807 
21.833 	0.0078897 	20974 
22.333 	0.0078897 	20974 
22.833 	0.0078897 	21140 
23.333 	0.0077831 	21140 
23.833 	0.0077831 	21140 
24.333 	0.0077831 	21140 
24.833 	0.0076765 	21140 
25.333 	0.0076765 	21140 
25.833 	0.0076765 	21140 
26.333 	0.0076765 	21140 
26.833 	0.0076765 	21140 
27.333 	0.0075699 	21140 
27.833 	0.0075699 	21140 
28.333 	0.0075699 	21140 
28.833 	0.0075699 	21140 
29.333 	0.0075699 	20974 
29.833 	0.0075699 	21140 
30.333 	0.0075699 	21140 
30.833 	0.0075699 	21140 
31.333 	0.0075699 	21140 
31.833 	0.0075699 	21140 
32.333 	0.0075699 	21140 
32.833 	0.0075699 	21140 
33.333 	0.0075699 	21140 
33.833 	0.0075699 	21140 
34.333 	0.0075699 	21140 
34.833 	0.0075699 	21140 
35.333 	0.0074633 	21140 
35.833 	0.0075699 	21140 
36.333 	0.0075699 	21140 
36.833 	0.0075699 	21306 
37.333 	0.0075699 	21140 
37.833 	0.0075699 	21140 
38.333 	0.0075699 	21140 
38.833 	0.0075699 	21140 
39.333 	0.0075699 	21140 
39.833 	0.0075699 	21140 
40.333 	0.0075699 	21140 
40.833 	0.0075699 	21140 
41.333 	0.0074633 	21140 
41.833 	0.0075699 	21140 
42.333 	0.0074633 	21140 
