Tempo(s)	Deformação(mm)	Força(N)
0.016667 	0.00000 	832.28 
0.51667 	0.00000 	832.28 
1.0167 	0.00000 	998.74 
1.5167 	0.00010662 	1331.7 
2.0167 	0.00031985 	1664.6 
2.5167 	0.00063971 	2163.9 
3.0167 	0.00095956 	2496.9 
3.5167 	0.0013860 	2996.2 
3.9500 	0.0015993 	3662.0 
4.3833 	0.0020257 	3995.0 
4.8500 	0.0024522 	4494.3 
5.2833 	0.0026655 	5160.2 
5.6167 	0.0030919 	5493.1 
6.1167 	0.0035184 	5992.4 
6.5167 	0.0038383 	6658.3 
7.0167 	0.0041581 	6991.2 
7.4167 	0.0045846 	7490.6 
7.9167 	0.0049044 	8156.4 
8.4167 	0.0052243 	8489.3 
8.7333 	0.0056508 	8988.7 
9.1667 	0.0058640 	9654.5 
9.6000 	0.0062905 	9987.4 
10.100 	0.0065037 	10487 
10.483 	0.0069302 	10820 
10.983 	0.0072500 	11486 
11.483 	0.0075699 	11652 
11.983 	0.0078897 	12318 
12.483 	0.0082096 	12651 
12.983 	0.0085294 	13150 
13.483 	0.0088493 	13649 
13.867 	0.0092758 	14149 
14.300 	0.0095956 	14815 
14.667 	0.010022 	15148 
15.100 	0.010342 	15813 
15.600 	0.010662 	16313 
15.967 	0.011088 	16646 
16.467 	0.011408 	17145 
16.917 	0.011728 	17811 
17.417 	0.012154 	18310 
17.917 	0.012474 	18810 
18.417 	0.012901 	19309 
18.917 	0.013221 	19808 
19.400 	0.013647 	20308 
19.900 	0.013754 	20641 
20.400 	0.013860 	20807 
20.900 	0.013967 	20807 
21.400 	0.013967 	20807 
21.900 	0.014074 	20974 
22.400 	0.014074 	20974 
22.900 	0.014074 	20974 
23.400 	0.014074 	20974 
23.900 	0.014074 	20974 
24.400 	0.014074 	20974 
24.900 	0.014074 	20974 
25.400 	0.014074 	20974 
25.900 	0.014074 	20974 
26.400 	0.014180 	20974 
26.900 	0.014074 	20974 
27.400 	0.014180 	20974 
27.900 	0.014074 	20974 
28.400 	0.014074 	20974 
28.900 	0.014074 	20974 
29.400 	0.014074 	20807 
29.900 	0.014074 	20974 
30.400 	0.014074 	20974 
30.900 	0.014074 	20974 
31.400 	0.014074 	20974 
31.900 	0.014074 	20807 
32.400 	0.014074 	20974 
32.900 	0.014074 	20974 
33.400 	0.014074 	20974 
33.900 	0.014074 	20974 
34.400 	0.014074 	20807 
34.900 	0.014074 	20974 
35.400 	0.014074 	21140 
35.900 	0.014074 	20974 
36.400 	0.014074 	20807 
36.900 	0.014074 	20974 
