Tempo(s)	Deformação(mm)	Força(N)
 0.016667 	0.00000 	832.28 
0.51667 	0.00000 	998.74 
1.0167 	0.00000 	1165.2 
1.5167 	0.00000 	1331.7 
2.0167 	0.00000 	1331.7 
2.5167 	0.00000 	1664.6 
2.9833 	0.00000 	2330.4 
3.4833 	0.00010662 	2663.3 
3.9833 	0.00010662 	2663.3 
4.4833 	0.00010662 	2996.2 
4.9833 	0.00010662 	3329.1 
5.4833 	0.00010662 	3662.0 
5.9667 	0.00021324 	4327.9 
6.4667 	0.00053309 	4827.2 
6.7000 	0.00063971 	5493.1 
7.2000 	0.00085294 	5992.4 
7.4833 	0.0010662 	6658.3 
7.8167 	0.0011728 	7324.1 
8.2167 	0.0012794 	7989.9 
8.6333 	0.0015993 	8655.8 
9.1333 	0.0017059 	9155.1 
9.5667 	0.0018125 	9820.9 
10.067 	0.0020257 	10320 
10.550 	0.0021324 	10986 
11.050 	0.0022390 	11486 
11.550 	0.0022390 	11985 
12.050 	0.0023456 	12484 
12.533 	0.0024522 	13150 
13.033 	0.0025588 	13483 
13.533 	0.0025588 	13649 
14.033 	0.0025588 	13649 
14.533 	0.0025588 	13816 
15.033 	0.0025588 	13816 
15.533 	0.0025588 	13816 
16.033 	0.0025588 	13816 
16.533 	0.0025588 	13649 
17.033 	0.0025588 	13816 
17.533 	0.0025588 	13982 
18.033 	0.0025588 	13816 
18.533 	0.0025588 	13816 
19.033 	0.0024522 	13816 
19.533 	0.0025588 	13816 
20.033 	0.0025588 	13816 
20.533 	0.0025588 	13816 
21.033 	0.0025588 	13649 
21.533 	0.0025588 	13816 
22.033 	0.0024522 	13982 
22.533 	0.0025588 	13816 
23.033 	0.0025588 	13816 
23.533 	0.0024522 	13816 
24.033 	0.0024522 	13816 
24.533 	0.0024522 	13816 
25.033 	0.0024522 	13816 
25.533 	0.0024522 	13816 
26.033 	0.0024522 	13816 
26.533 	0.0024522 	13816 
27.033 	0.0024522 	13816 
27.533 	0.0024522 	13816 
28.033 	0.0024522 	13816 
28.533 	0.0024522 	13816 
29.033 	0.0024522 	13816 
29.533 	0.0024522 	13816 
30.033 	0.0024522 	13816 
30.533 	0.0024522 	13982 
31.033 	0.0024522 	13816 
31.533 	0.0024522 	13649 
32.033 	0.0023456 	13816 
32.533 	0.0024522 	13816 
33.033 	0.0023456 	13982 
33.533 	0.0024522 	13816 
34.033 	0.0023456 	13816 
34.533 	0.0024522 	13816 
35.033 	0.0024522 	13982 
35.533 	0.0023456 	13816 
36.033 	0.0023456 	13816 
36.533 	0.0024522 	13816 
37.033 	0.0024522 	13816 
37.533 	0.0024522 	13816 
38.033 	0.0024522 	13816 
38.533 	0.0023456 	13816 
39.033 	0.0023456 	13982 
39.533 	0.0024522 	13816 
40.033 	0.0024522 	13816 
40.533 	0.0024522 	13649 
41.033 	0.0024522 	13816 
41.533 	0.0024522 	13982 
42.033 	0.0024522 	13982 
42.533 	0.0024522 	13816 
43.033 	0.0024522 	13816 
43.533 	0.0024522 	13816 
44.033 	0.0023456 	13816 
44.533 	0.0023456 	13982 
45.033 	0.0024522 	13816 
45.533 	0.0023456 	13816 
46.033 	0.0023456 	13816 
46.533 	0.0023456 	13816 
47.033 	0.0024522 	13816 
47.533 	0.0024522 	13649 
48.033 	0.0023456 	13816 
48.533 	0.0023456 	13816 
49.033 	0.0023456 	13816 
49.533 	0.0023456 	13816 
50.033 	0.0023456 	13816 
50.533 	0.0024522 	13816 
51.033 	0.0024522 	13649 
51.533 	0.0023456 	13816 
52.033 	0.0023456 	13816 
52.533 	0.0024522 	13816 
53.033 	0.0024522 	13816 
53.533 	0.0024522 	13816 
54.033 	0.0023456 	13816 
54.533 	0.0023456 	13649 
55.033 	0.0023456 	13816 
55.533 	0.0023456 	13982 
56.033 	0.0024522 	13982 
56.533 	0.0023456 	13816 
57.033 	0.0023456 	13816 
57.533 	0.0023456 	13816 
58.033 	0.0023456 	13816 
58.533 	0.0023456 	13816 
59.033 	0.0023456 	13816 
59.533 	0.0023456 	13649 
60.033 	0.0023456 	13816 
60.533 	0.0023456 	13816 
61.033 	0.0023456 	13982 
61.533 	0.0023456 	13816 
62.033 	0.0023456 	13816 
62.533 	0.0023456 	13816 
63.033 	0.0023456 	13816 
63.533 	0.0023456 	13816 
64.033 	0.0023456 	13816 
