Tempo(s)	Deformação(mm)	Força(N)
0.016667 	0.00000 	0.00000 
0.51667 	0.00000 	0.00000 
1.0167 	0.00010662 	499.37 
1.5167 	0.00021324 	998.74 
2.0000 	0.00031985 	1664.6 
2.5000 	0.00042647 	2163.9 
2.8000 	0.00053309 	2829.8 
3.1000 	0.00063971 	3495.6 
3.3000 	0.00074633 	4161.4 
3.6167 	0.00095956 	4827.2 
3.8500 	0.0010662 	5493.1 
4.1333 	0.0011728 	6158.9 
4.3833 	0.0012794 	6824.7 
4.6667 	0.0013860 	7490.6 
5.0000 	0.0015993 	8156.4 
5.3333 	0.0015993 	8822.2 
5.6333 	0.0017059 	9488.0 
6.0000 	0.0019191 	10154 
6.3167 	0.0020257 	10820 
6.7333 	0.0021324 	11486 
7.2333 	0.0023456 	11985 
7.5333 	0.0023456 	12651 
7.8333 	0.0024522 	13317 
8.0833 	0.0026655 	13982 
8.3167 	0.0027721 	14648 
8.6000 	0.0028787 	15314 
8.8833 	0.0030919 	15980 
9.2167 	0.0031985 	16646 
9.5000 	0.0033052 	17312 
9.8500 	0.0035184 	17977 
10.150 	0.0036250 	18643 
10.483 	0.0037316 	19309 
10.850 	0.0039449 	19975 
11.233 	0.0040515 	20641 
11.617 	0.0042647 	21306 
11.883 	0.0042647 	21972 
12.233 	0.0044780 	22638 
12.533 	0.0046912 	23304 
12.850 	0.0047978 	23970 
13.233 	0.0049044 	24636 
13.567 	0.0051177 	25301 
13.900 	0.0052243 	25967 
14.267 	0.0053309 	26633 
14.683 	0.0055441 	27299 
15.000 	0.0056508 	27965 
15.383 	0.0057574 	28631 
15.750 	0.0059706 	29296 
16.083 	0.0060772 	29962 
16.450 	0.0061839 	30628 
16.783 	0.0062905 	31294 
17.183 	0.0065037 	31960 
17.467 	0.0066103 	32626 
17.683 	0.0068236 	33291 
17.917 	0.0069302 	33957 
18.183 	0.0071434 	34623 
18.500 	0.0072500 	35289 
18.800 	0.0073566 	35955 
19.133 	0.0075699 	36620 
19.483 	0.0076765 	37286 
19.800 	0.0077831 	37952 
20.117 	0.0078897 	38618 
20.450 	0.0081030 	39284 
20.800 	0.0082096 	39950 
21.117 	0.0083162 	40615 
21.467 	0.0084228 	41281 
21.800 	0.0086361 	41947 
22.150 	0.0088493 	42613 
22.483 	0.0089559 	43279 
22.800 	0.0091692 	43945 
23.100 	0.0092758 	44610 
23.483 	0.0093824 	45276 
23.833 	0.0094890 	45942 
24.183 	0.0097022 	46608 
24.467 	0.0098089 	47274 
24.817 	0.010022 	47940 
25.167 	0.010129 	48605 
25.467 	0.010342 	49271 
25.833 	0.010449 	49937 
26.150 	0.010555 	50603 
26.533 	0.010768 	51269 
26.867 	0.010875 	51935 
27.367 	0.010982 	52267 
27.867 	0.010982 	52434 
28.367 	0.011088 	52434 
28.867 	0.010982 	52434 
29.367 	0.010982 	52434 
29.867 	0.011088 	52434 
30.367 	0.010982 	52434 
30.867 	0.011088 	52267 
31.367 	0.011088 	52434 
31.867 	0.011088 	52434 
32.367 	0.011088 	52434 
32.867 	0.010982 	52267 
33.367 	0.011088 	52434 
33.867 	0.011088 	52267 
34.367 	0.011088 	52600 
34.867 	0.011088 	52434 
35.367 	0.010982 	52434 
35.867 	0.011088 	52600 
36.367 	0.011088 	52267 
36.867 	0.011088 	52600 
37.367 	0.011088 	52434 
37.867 	0.010982 	52434 
38.367 	0.011088 	52600 
38.867 	0.011088 	52267 
39.367 	0.011088 	52434 
39.867 	0.010982 	52434 
40.367 	0.010982 	52434 
40.867 	0.010982 	52434 
41.367 	0.011088 	52434 
41.867 	0.011088 	52267 
42.367 	0.010982 	52434 
42.867 	0.010982 	52434 
43.367 	0.011088 	52600 
43.867 	0.011088 	52434 
44.367 	0.010982 	52434 
44.867 	0.011088 	52434 
45.367 	0.010982 	52600 
45.867 	0.010982 	52434 
46.367 	0.010982 	52434 
46.867 	0.011088 	52434 
47.367 	0.011088 	52267 
47.867 	0.011088 	52434 
48.367 	0.011088 	52434 
48.867 	0.011088 	52434 
49.367 	0.010982 	52600 
49.867 	0.011088 	52434 
50.367 	0.010982 	52267 
50.867 	0.010982 	52600 
51.367 	0.011088 	52434 
51.867 	0.011088 	52434 
52.367 	0.010982 	52600 
52.867 	0.010982 	52267 
53.367 	0.010982 	52434 
53.867 	0.010982 	52600 
54.367 	0.011088 	52267 
54.867 	0.010982 	52434 
55.367 	0.010982 	52434 
55.867 	0.010982 	52267 
56.367 	0.010982 	52434 
56.867 	0.011088 	52434 
57.367 	0.010982 	52267 
57.867 	0.010982 	52434 
58.367 	0.010982 	52434 
58.867 	0.010982 	52434 
59.367 	0.010982 	52434 
59.867 	0.011088 	52434 
60.367 	0.010982 	52267 
60.867 	0.010982 	52267 
