Tempo(s)	Deformação(mm)	Força(N)
0.016667 	0.00000 	0.00000 
0.51667 	0.00000 	0.00000 
1.0167 	0.00000 	166.46 
1.5167 	0.00010662 	499.37 
2.0167 	0.00021324 	832.28 
2.5167 	0.00031985 	1331.7 
3.0167 	0.00042647 	1831.0 
3.5000 	0.00053309 	2496.9 
4.0000 	0.00063971 	2829.8 
4.5000 	0.00085294 	3162.7 
4.7333 	0.00095956 	3828.5 
5.1667 	0.0010662 	4494.3 
5.6667 	0.0011728 	4993.7 
6.1667 	0.0013860 	5493.1 
6.5667 	0.0015993 	6158.9 
7.0667 	0.0017059 	6658.3 
7.5667 	0.0018125 	7324.1 
8.0667 	0.0019191 	7823.5 
8.5667 	0.0021324 	8156.4 
8.9167 	0.0021324 	8822.2 
9.4167 	0.0023456 	8988.7 
9.7500 	0.0024522 	9654.5 
10.250 	0.0025588 	9987.4 
10.750 	0.0026655 	10487 
11.250 	0.0027721 	11153 
11.750 	0.0028787 	11486 
12.250 	0.0029853 	11985 
12.750 	0.0030919 	12318 
13.250 	0.0031985 	12817 
13.750 	0.0033052 	13317 
14.217 	0.0035184 	13982 
14.633 	0.0036250 	14648 
15.133 	0.0037316 	15314 
15.633 	0.0039449 	15813 
16.117 	0.0040515 	16479 
16.617 	0.0041581 	16812 
17.083 	0.0042647 	17478 
17.583 	0.0043713 	17977 
18.083 	0.0044780 	18477 
18.583 	0.0046912 	18976 
19.083 	0.0047978 	19475 
19.583 	0.0049044 	19975 
20.083 	0.0050111 	20474 
20.583 	0.0051177 	20807 
21.083 	0.0051177 	20974 
21.583 	0.0052243 	21140 
22.083 	0.0051177 	21140 
22.583 	0.0052243 	21140 
23.083 	0.0052243 	21140 
23.583 	0.0052243 	21140 
24.083 	0.0052243 	21140 
24.583 	0.0051177 	21140 
25.083 	0.0051177 	21140 
25.583 	0.0051177 	21140 
26.083 	0.0051177 	21306 
26.583 	0.0051177 	21306 
27.083 	0.0051177 	21140 
27.583 	0.0051177 	21140 
28.083 	0.0051177 	21140 
28.583 	0.0051177 	21140 
29.083 	0.0051177 	21140 
29.583 	0.0051177 	20974 
30.083 	0.0051177 	21140 
30.583 	0.0051177 	21140 
31.083 	0.0051177 	21140 
31.583 	0.0051177 	21306 
32.083 	0.0051177 	21140 
32.583 	0.0051177 	21140 
33.083 	0.0051177 	21140 
33.583 	0.0051177 	21140 
34.083 	0.0051177 	21140 
34.583 	0.0051177 	21140 
35.083 	0.0051177 	21140 
35.583 	0.0051177 	21140 
36.083 	0.0051177 	21140 
36.583 	0.0051177 	21140 
37.083 	0.0051177 	21140 
37.583 	0.0051177 	21140 
38.083 	0.0051177 	20974 
38.583 	0.0051177 	21140 
39.083 	0.0051177 	21140 
39.583 	0.0051177 	21140 
40.083 	0.0051177 	21140 
40.583 	0.0051177 	21140 
41.083 	0.0051177 	21140 
41.583 	0.0051177 	21140 
42.083 	0.0051177 	21306 
42.583 	0.0051177 	21140 
43.083 	0.0051177 	21140 
43.583 	0.0051177 	21140 
44.083 	0.0050111 	21140 
44.583 	0.0051177 	21140 
45.083 	0.0051177 	21140 
45.583 	0.0051177 	21140 
46.083 	0.0051177 	21306 
46.583 	0.0050111 	21140 
47.083 	0.0051177 	21140 
47.583 	0.0050111 	20974 
48.083 	0.0051177 	21140 
48.583 	0.0050111 	21140 
49.083 	0.0051177 	21140 
49.583 	0.0051177 	21140 
50.083 	0.0051177 	21140 
50.583 	0.0051177 	21140 
51.083 	0.0051177 	21140 
51.583 	0.0051177 	21140 
52.083 	0.0050111 	21140 
52.583 	0.0051177 	21140 
53.083 	0.0051177 	21140 
53.583 	0.0051177 	21140 
54.083 	0.0051177 	21140 
54.583 	0.0051177 	21140 
55.083 	0.0050111 	21140 
55.583 	0.0051177 	21140 
56.083 	0.0051177 	21140 
56.583 	0.0051177 	21140 
57.083 	0.0051177 	21140 
57.583 	0.0050111 	21140 
58.083 	0.0051177 	21140 
58.583 	0.0050111 	21140 
59.083 	0.0051177 	21306 
59.583 	0.0051177 	21140 
60.083 	0.0051177 	21306 
60.583 	0.0051177 	21140 
61.083 	0.0051177 	21140 
61.583 	0.0051177 	21140 
62.083 	0.0051177 	21140 
62.583 	0.0050111 	21140 
63.083 	0.0051177 	21306 
63.583 	0.0051177 	21140 
64.083 	0.0051177 	21140 
64.583 	0.0051177 	21140 
65.083 	0.0051177 	21140 
65.583 	0.0050111 	21140 
66.083 	0.0051177 	21140 
66.583 	0.0051177 	21140 
67.083 	0.0050111 	21140 
67.583 	0.0051177 	21140 
68.083 	0.0050111 	21140 
68.583 	0.0051177 	21140 
69.083 	0.0051177 	21140 
69.583 	0.0051177 	21140 
70.083 	0.0051177 	20974 
70.583 	0.0051177 	21140 
71.083 	0.0050111 	20974 
