Tempo(s)	Deformação(mm)	Força(N)
 0.016667 	-0.0002136 	166.46 
0.51667 	-0.0002136 	0.00000 
0.90000 	0.00010662 	665.83 
1.1667 	0.00053309 	832.28 
1.4000 	0.00095956 	998.74 
1.6000 	0.0013860 	1331.7 
2.1000 	0.0017059 	1498.1 
2.6000 	0.0019191 	1831.0 
3.1000 	0.0022390 	1831.0 
3.3333 	0.0026655 	2330.4 
3.4500 	0.0030919 	2330.4 
3.5500 	0.0035184 	2663.3 
3.6667 	0.0039449 	2829.8 
3.8167 	0.0043713 	2996.2 
4.0000 	0.0047978 	3495.6 
4.2333 	0.0052243 	3662.0 
4.6833 	0.0056508 	4161.4 
4.8333 	0.0060772 	4161.4 
4.9500 	0.0065037 	4327.9 
5.0667 	0.0069302 	4494.3 
5.1667 	0.0073566 	4660.8 
5.2833 	0.0077831 	4993.7 
5.3833 	0.0082096 	5160.2 
5.4500 	0.0086361 	5160.2 
5.5333 	0.0090625 	5493.1 
5.6167 	0.0094890 	5659.5 
5.6833 	0.010022 	5826.0 
5.7667 	0.010555 	6158.9 
5.8333 	0.010982 	6325.4 
5.9167 	0.011515 	6325.4 
5.9833 	0.011941 	6491.8 
6.0500 	0.012368 	6824.7 
6.1167 	0.012794 	7157.6 
6.1833 	0.013327 	7324.1 
6.2500 	0.013754 	7157.6 
6.3167 	0.014287 	7657.0 
6.3833 	0.014713 	7823.5 
6.4500 	0.015140 	7823.5 
6.5167 	0.015566 	7989.9 
6.5667 	0.015993 	8156.4 
6.6333 	0.016526 	8322.8 
6.7000 	0.016952 	8655.8 
6.7500 	0.017379 	8822.2 
6.8000 	0.017805 	9155.1 
6.8667 	0.018338 	9155.1 
6.9333 	0.018765 	9654.5 
7.0000 	0.019298 	9654.5 
7.0667 	0.019724 	9820.9 
7.1167 	0.020151 	9820.9 
7.1833 	0.020684 	10154 
7.2500 	0.021110 	10320 
7.3000 	0.021537 	10487 
7.3500 	0.021963 	10653 
7.4000 	0.022390 	10820 
7.4500 	0.022816 	10820 
7.5000 	0.023243 	11319 
7.5500 	0.023669 	11153 
7.6167 	0.024096 	11486 
7.6667 	0.024522 	11319 
7.7333 	0.025055 	11818 
7.8000 	0.025482 	11985 
7.8500 	0.025908 	11985 
7.9167 	0.026335 	12151 
7.9667 	0.026761 	12318 
8.0167 	0.027188 	12484 
8.0667 	0.027614 	12484 
8.1333 	0.028147 	12817 
8.1833 	0.028574 	12984 
8.2333 	0.029000 	12984 
8.2833 	0.029533 	13150 
8.3167 	0.029960 	13150 
8.3667 	0.030386 	13150 
8.4167 	0.030919 	13483 
