Tempo(s)	Deformação(mm)	Força(N)
0.016667 	0.00000 	332.91 
0.51667 	0.00000 	166.46 
0.90000 	0.00010662 	832.28 
1.4000 	0.00010662 	832.28 
1.9000 	0.00021324 	1498.1 
2.4000 	0.00031985 	1664.6 
2.9000 	0.00042647 	2330.4 
3.4000 	0.00053309 	2663.3 
3.8500 	0.00063971 	3329.1 
4.3500 	0.00085294 	3828.5 
4.8500 	0.00095956 	4161.4 
5.2500 	0.0011728 	4827.2 
5.7500 	0.0012794 	5160.2 
6.2167 	0.0013860 	5826.0 
6.7167 	0.0015993 	6158.9 
7.2167 	0.0017059 	6824.7 
7.7167 	0.0019191 	7324.1 
8.2167 	0.0021324 	7823.5 
8.7167 	0.0022390 	8322.8 
9.2167 	0.0023456 	8822.2 
9.7167 	0.0025588 	9321.6 
10.200 	0.0027721 	9987.4 
10.700 	0.0028787 	10487 
11.200 	0.0030919 	10820 
11.700 	0.0031985 	11319 
12.200 	0.0033052 	11652 
12.700 	0.0034118 	11985 
13.200 	0.0036250 	12484 
13.517 	0.0037316 	13150 
14.017 	0.0039449 	13649 
14.517 	0.0041581 	14149 
15.000 	0.0042647 	14815 
15.500 	0.0042647 	15314 
16.000 	0.0044780 	15813 
16.483 	0.0044780 	16479 
16.983 	0.0045846 	16979 
17.483 	0.0046912 	17312 
17.833 	0.0046912 	17977 
18.333 	0.0047978 	18477 
18.833 	0.0047978 	18976 
19.333 	0.0050111 	19475 
19.833 	0.0050111 	19975 
20.333 	0.0051177 	20474 
20.833 	0.0052243 	20974 
21.333 	0.0053309 	21473 
21.783 	0.0054375 	22139 
22.283 	0.0054375 	22305 
22.783 	0.0055441 	22472 
23.283 	0.0054375 	22472 
23.783 	0.0055441 	22638 
24.283 	0.0055441 	22638 
24.783 	0.0055441 	22472 
25.283 	0.0055441 	22638 
25.783 	0.0055441 	22472 
26.283 	0.0054375 	22472 
26.783 	0.0055441 	22638 
27.283 	0.0055441 	22472 
27.783 	0.0055441 	22638 
28.283 	0.0055441 	22638 
28.783 	0.0055441 	22638 
29.283 	0.0055441 	22638 
29.783 	0.0055441 	22638 
30.283 	0.0055441 	22472 
30.783 	0.0055441 	22472 
31.283 	0.0055441 	22638 
31.783 	0.0055441 	22638 
32.283 	0.0055441 	22638 
32.783 	0.0055441 	22805 
33.283 	0.0055441 	22638 
33.783 	0.0055441 	22638 
34.283 	0.0055441 	22638 
34.783 	0.0055441 	22638 
35.283 	0.0055441 	22638 
35.783 	0.0055441 	22472 
36.283 	0.0055441 	22638 
36.783 	0.0055441 	22638 
37.283 	0.0055441 	22638 
37.783 	0.0055441 	22638 
38.283 	0.0055441 	22638 
38.783 	0.0055441 	22638 
39.283 	0.0055441 	22638 
39.783 	0.0055441 	22638 
40.283 	0.0055441 	22638 
40.783 	0.0055441 	22472 
41.283 	0.0055441 	22638 
41.783 	0.0055441 	22638 
42.283 	0.0055441 	22805 
42.783 	0.0055441 	22638 
43.283 	0.0055441 	22638 
43.783 	0.0055441 	22638 
44.283 	0.0055441 	22638 
44.783 	0.0055441 	22805 
45.283 	0.0055441 	22638 
45.783 	0.0055441 	22638 
46.283 	0.0055441 	22638 
46.783 	0.0055441 	22805 
47.283 	0.0055441 	22638 
47.783 	0.0055441 	22638 
48.283 	0.0055441 	22472 
48.783 	0.0055441 	22638 
49.283 	0.0055441 	22638 
49.783 	0.0055441 	22805 
50.283 	0.0055441 	22638 
50.783 	0.0055441 	22638 
51.283 	0.0055441 	22638 
51.783 	0.0055441 	22638 
52.283 	0.0055441 	22638 
52.783 	0.0055441 	22638 
53.283 	0.0055441 	22638 
53.783 	0.0054375 	22638 
54.283 	0.0055441 	22472 
54.783 	0.0055441 	22472 
55.283 	0.0055441 	22638 
55.783 	0.0055441 	22638 
56.283 	0.0055441 	22638 
56.783 	0.0055441 	22638 
57.283 	0.0055441 	22638 
57.783 	0.0055441 	22638 
58.283 	0.0055441 	22638 
58.783 	0.0055441 	22638 
59.283 	0.0055441 	22638 
59.783 	0.0054375 	22638 
60.283 	0.0055441 	22805 
60.783 	0.0055441 	22638 
61.283 	0.0055441 	22472 
61.783 	0.0055441 	22472 
62.283 	0.0055441 	22638 
62.783 	0.0055441 	22638 
63.283 	0.0055441 	22638 
63.783 	0.0055441 	22805 
64.283 	0.0055441 	22638 
64.783 	0.0055441 	22638 
65.283 	0.0054375 	22638 
65.783 	0.0054375 	22638 
66.283 	0.0055441 	22472 
66.783 	0.0055441 	22638 
67.283 	0.0054375 	22638 
67.783 	0.0055441 	22638 
68.283 	0.0055441 	22638 
68.783 	0.0055441 	22638 
69.283 	0.0055441 	22638 
69.783 	0.0055441 	22638 
70.283 	0.0055441 	22805 
70.783 	0.0055441 	22638 
71.283 	0.0054375 	22638 
71.783 	0.0055441 	22638 
72.283 	0.0055441 	22638 
72.783 	0.0055441 	22638 
73.283 	0.0054375 	22638 
73.783 	0.0055441 	22638 
74.283 	0.0055441 	22638 
74.783 	0.0055441 	22638 
75.283 	0.0055441 	22638 
75.783 	0.0055441 	22638 
76.283 	0.0055441 	22638 
76.783 	0.0055441 	22638 
77.283 	0.0055441 	22638 
77.783 	0.0055441 	22638 
78.283 	0.0055441 	22638 
78.783 	0.0055441 	22472 
