Tempo(s)	Deformação(mm)	Força(N)
0.016667 	-0.0001068 	-166.80 
0.51667 	-0.0001068 	0.00000 
1.0167 	0.00000 	332.91 
1.5167 	0.00000 	332.91 
2.0167 	0.00010662 	832.28 
2.5167 	0.00010662 	1165.2 
3.0167 	0.00021324 	1498.1 
3.5167 	0.00021324 	1831.0 
4.0167 	0.00031985 	2330.4 
4.5167 	0.00053309 	2663.3 
5.0167 	0.00053309 	2829.8 
5.5167 	0.00053309 	3162.7 
6.0167 	0.00063971 	3495.6 
6.5167 	0.00063971 	3828.5 
6.9333 	0.00074633 	4494.3 
7.4333 	0.00085294 	4827.2 
7.9000 	0.0010662 	5493.1 
8.3667 	0.0012794 	6158.9 
8.6667 	0.0013860 	6824.7 
9.0167 	0.0014927 	7490.6 
9.5167 	0.0017059 	7657.0 
9.8833 	0.0017059 	8322.8 
10.300 	0.0019191 	8988.7 
10.800 	0.0019191 	9488.0 
11.233 	0.0021324 	10154 
11.717 	0.0022390 	10820 
12.167 	0.0023456 	11486 
12.667 	0.0025588 	11818 
12.983 	0.0026655 	12484 
13.483 	0.0028787 	12984 
13.983 	0.0029853 	13317 
14.483 	0.0030919 	13649 
14.933 	0.0030919 	14315 
15.433 	0.0031985 	14648 
15.750 	0.0034118 	15314 
16.133 	0.0035184 	15980 
16.633 	0.0036250 	16313 
16.967 	0.0038383 	16979 
17.467 	0.0038383 	17478 
17.967 	0.0040515 	17977 
18.467 	0.0041581 	18477 
18.917 	0.0042647 	19143 
19.417 	0.0044780 	19642 
19.917 	0.0045846 	19975 
20.367 	0.0046912 	20641 
20.867 	0.0047978 	20974 
21.317 	0.0049044 	21639 
21.817 	0.0050111 	22139 
22.317 	0.0051177 	22638 
22.817 	0.0053309 	23304 
23.317 	0.0054375 	23637 
23.817 	0.0055441 	24136 
24.233 	0.0056508 	24802 
24.733 	0.0057574 	25301 
25.233 	0.0058640 	25634 
25.733 	0.0059706 	26134 
26.200 	0.0061839 	26800 
26.700 	0.0062905 	27132 
27.167 	0.0063971 	27798 
27.667 	0.0065037 	28298 
28.167 	0.0067169 	28631 
28.633 	0.0068236 	29296 
29.133 	0.0069302 	29629 
29.600 	0.0070368 	30295 
30.100 	0.0071434 	30795 
30.600 	0.0072500 	31294 
31.100 	0.0074633 	31793 
31.583 	0.0075699 	32459 
32.083 	0.0076765 	32792 
32.550 	0.0078897 	33458 
33.050 	0.0079964 	33957 
33.433 	0.0082096 	34623 
33.933 	0.0083162 	35122 
34.433 	0.0085294 	35788 
34.933 	0.0086361 	36288 
35.433 	0.0087427 	36787 
35.933 	0.0089559 	37286 
36.433 	0.0090625 	37786 
36.900 	0.0091692 	38452 
37.400 	0.0093824 	38784 
37.817 	0.0094890 	39450 
38.317 	0.0097022 	39783 
38.817 	0.0098089 	40283 
39.117 	0.013754 	37286 
39.133 	0.015246 	32459 
39.150 	0.014180 	30295 
39.167 	0.013221 	31793 
39.183 	0.012794 	32958 
39.217 	0.012368 	32958 
39.250 	0.012261 	33791 
39.317 	0.012048 	34623 
39.367 	0.012048 	35289 
39.417 	0.012154 	35955 
39.467 	0.012261 	36620 
39.533 	0.012154 	37453 
39.617 	0.012154 	38119 
39.683 	0.012048 	38784 
39.783 	0.011941 	39450 
39.900 	0.011941 	40116 
40.067 	0.011835 	40782 
40.350 	0.011728 	41448 
40.650 	0.011515 	42114 
41.150 	0.011302 	42613 
41.533 	0.011088 	43279 
42.033 	0.011088 	43612 
42.417 	0.011088 	44278 
42.917 	0.010982 	44610 
43.383 	0.011088 	45276 
43.883 	0.011088 	45776 
44.367 	0.011302 	46441 
44.867 	0.011302 	46774 
45.367 	0.011408 	47274 
45.833 	0.011728 	47940 
46.333 	0.011728 	48272 
46.750 	0.011835 	48938 
47.250 	0.011515 	49438 
47.667 	0.011088 	49771 
48.167 	0.010875 	50270 
48.667 	0.010875 	50769 
49.133 	0.010662 	51435 
49.633 	0.010555 	51935 
50.133 	0.010449 	52434 
50.633 	0.010449 	52933 
